id,student_id,cycle,subject,level,score,assessed_at,created_at,updated_at,is_locked,locked_by,locked_at,assessor_id,school_id,class_id,academic_year,term,assessment_method,total_questions,correct_answers,percentage_score,performance_level,skill_scores,time_taken_minutes,completed_assessment,incomplete_reason,question_responses,mistakes_analysis,assessor_comments,recommendations,requires_intervention,intervention_type,parent_informed,parent_informed_date,parent_feedback,improvement_from_last,learning_style,strengths,weaknesses,topics_mastered,topics_struggling,homework_completion,class_participation,behavior_during_assessment,used_assistance,assistance_type,accommodations_provided,reassessment_needed,reassessment_date,benchmark_comparison,peer_rank,peer_total,pilot_school_id
601,105,baseline,khmer,Letters,19,2024-10-04,2025-09-04 09:03:01,2025-09-04 09:03:01,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
602,105,baseline,math,Nothing,3,2025-03-04,2025-09-04 09:03:01,2025-09-04 09:03:01,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
603,105,midline,khmer,Letters,25,2025-06-04,2025-09-04 09:03:01,2025-09-04 09:03:01,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
604,105,midline,math,Addition,29,2025-05-04,2025-09-04 09:03:01,2025-09-04 09:03:01,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
605,105,endline,khmer,Paragraph,46,2025-09-04,2025-09-04 09:03:01,2025-09-04 09:03:01,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
606,105,endline,math,Numbers,22,2025-09-04,2025-09-04 09:03:02,2025-09-04 09:03:02,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
607,106,baseline,khmer,Words,36,2024-09-04,2025-09-04 09:03:02,2025-09-04 09:03:02,f,,,10,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
608,106,baseline,math,Numbers,23,2025-01-04,2025-09-04 09:03:02,2025-09-04 09:03:02,f,,,10,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
609,106,midline,khmer,Letters,22,2025-04-04,2025-09-04 09:03:02,2025-09-04 09:03:02,f,,,10,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
610,106,midline,math,Addition,26,2025-04-04,2025-09-04 09:03:02,2025-09-04 09:03:02,f,,,10,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
611,106,endline,khmer,Words,28,2025-09-04,2025-09-04 09:03:02,2025-09-04 09:03:02,f,,,10,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
612,106,endline,math,Numbers,21,2025-09-04,2025-09-04 09:03:02,2025-09-04 09:03:02,f,,,10,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
613,107,baseline,khmer,Letters,21,2024-10-04,2025-09-04 09:03:02,2025-09-04 09:03:02,f,,,10,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
614,107,baseline,math,Nothing,0,2024-10-04,2025-09-04 09:03:02,2025-09-04 09:03:02,f,,,10,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
615,107,midline,khmer,Words,31,2025-03-04,2025-09-04 09:03:02,2025-09-04 09:03:02,f,,,10,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
616,107,midline,math,Addition,40,2025-03-04,2025-09-04 09:03:02,2025-09-04 09:03:02,f,,,10,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
1,1,baseline,khmer,Beginner,42,2025-01-17,2025-09-04 07:49:37,2025-09-04 08:04:21,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
2,1,baseline,math,Beginner,31,2025-01-17,2025-09-04 07:49:37,2025-09-04 08:04:21,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
3,1,midline,khmer,Letter,55.7,2025-05-12,2025-09-04 07:49:37,2025-09-04 08:04:21,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
4,1,midline,math,1-Digit,60,2025-05-12,2025-09-04 07:49:37,2025-09-04 08:04:21,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
5,1,endline,khmer,Word,70.3,2025-08-22,2025-09-04 07:49:37,2025-09-04 08:04:21,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
6,1,endline,math,2-Digit,70,2025-08-22,2025-09-04 07:49:37,2025-09-04 08:04:21,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
7,2,baseline,khmer,Beginner,49,2025-01-11,2025-09-04 07:49:37,2025-09-04 08:04:22,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,2
8,2,baseline,math,Beginner,45,2025-01-11,2025-09-04 07:49:37,2025-09-04 08:04:22,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,2
9,2,midline,khmer,Letter,54.7,2025-05-08,2025-09-04 07:49:37,2025-09-04 08:04:22,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,2
10,2,midline,math,1-Digit,61,2025-05-08,2025-09-04 07:49:37,2025-09-04 08:04:22,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,2
11,2,endline,khmer,Word,68.3,2025-08-23,2025-09-04 07:49:37,2025-09-04 08:04:22,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,2
12,2,endline,math,2-Digit,80,2025-08-23,2025-09-04 07:49:37,2025-09-04 08:04:22,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,2
13,3,baseline,khmer,Beginner,34,2025-01-12,2025-09-04 07:49:37,2025-09-04 08:04:22,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,3
14,3,baseline,math,1-Digit,50,2025-01-12,2025-09-04 07:49:37,2025-09-04 08:04:22,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,3
15,3,midline,khmer,Letter,61.7,2025-05-04,2025-09-04 07:49:37,2025-09-04 08:04:22,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,3
16,3,midline,math,2-Digit,70,2025-05-04,2025-09-04 07:49:37,2025-09-04 08:04:22,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,3
17,3,endline,khmer,Word,76.3,2025-08-24,2025-09-04 07:49:37,2025-09-04 08:04:22,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,3
18,3,endline,math,Subtraction,93,2025-08-24,2025-09-04 07:49:37,2025-09-04 08:04:22,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,3
25,5,baseline,khmer,Letter,49.7,2025-01-08,2025-09-04 07:49:38,2025-09-04 08:04:22,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,4
26,5,baseline,math,1-Digit,53,2025-01-08,2025-09-04 07:49:38,2025-09-04 08:04:22,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,4
27,5,midline,khmer,Word,53.3,2025-05-13,2025-09-04 07:49:38,2025-09-04 08:04:22,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,4
28,5,midline,math,2-Digit,56,2025-05-13,2025-09-04 07:49:38,2025-09-04 08:04:22,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,4
29,5,endline,khmer,Paragraph,75,2025-09-03,2025-09-04 07:49:38,2025-09-04 08:04:22,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,4
30,5,endline,math,Subtraction,89,2025-09-03,2025-09-04 07:49:38,2025-09-04 08:04:22,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,4
37,7,baseline,khmer,Letter,52.7,2025-01-09,2025-09-04 07:49:38,2025-09-04 08:04:22,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,5
38,7,baseline,math,2-Digit,48,2025-01-09,2025-09-04 07:49:38,2025-09-04 08:04:22,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,5
39,7,midline,khmer,Word,71.3,2025-05-13,2025-09-04 07:49:38,2025-09-04 08:04:22,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,5
40,7,midline,math,Subtraction,64,2025-05-13,2025-09-04 07:49:38,2025-09-04 08:04:22,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,5
41,7,endline,khmer,Paragraph,88,2025-08-30,2025-09-04 07:49:38,2025-09-04 08:04:23,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,5
42,7,endline,math,Division,89,2025-08-30,2025-09-04 07:49:38,2025-09-04 08:04:23,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,5
49,9,baseline,khmer,Word,62.3,2025-01-08,2025-09-04 07:49:39,2025-09-04 08:04:23,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,6
50,9,baseline,math,Subtraction,67,2025-01-08,2025-09-04 07:49:39,2025-09-04 08:04:23,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,6
51,9,midline,khmer,Paragraph,74,2025-05-18,2025-09-04 07:49:39,2025-09-04 08:04:23,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,6
52,9,midline,math,Division,81,2025-05-18,2025-09-04 07:49:39,2025-09-04 08:04:23,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,6
53,9,endline,khmer,Story,94.7,2025-08-23,2025-09-04 07:49:39,2025-09-04 08:04:23,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,6
54,9,endline,math,Word Problem,90,2025-08-23,2025-09-04 07:49:39,2025-09-04 08:04:23,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,6
61,11,baseline,khmer,Paragraph,51,2025-01-18,2025-09-04 07:49:39,2025-09-04 08:04:23,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,7
62,11,baseline,math,Division,78,2025-01-18,2025-09-04 07:49:39,2025-09-04 08:04:23,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,7
63,11,midline,khmer,Story,82.7,2025-05-09,2025-09-04 07:49:39,2025-09-04 08:04:23,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,7
64,11,midline,math,Word Problem,81,2025-05-09,2025-09-04 07:49:39,2025-09-04 08:04:23,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,7
65,11,endline,khmer,Comp 1,88.3,2025-09-04,2025-09-04 07:49:40,2025-09-04 08:04:23,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,7
617,107,endline,khmer,Words,36,2025-07-04,2025-09-04 09:03:02,2025-09-04 09:03:02,f,,,10,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
618,107,endline,math,Multiplication,60,2025-09-04,2025-09-04 09:03:02,2025-09-04 09:03:02,f,,,10,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
619,108,baseline,khmer,Nothing,10,2025-03-04,2025-09-04 09:03:02,2025-09-04 09:03:02,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
620,108,baseline,math,Nothing,10,2024-10-04,2025-09-04 09:03:03,2025-09-04 09:03:03,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
621,108,midline,khmer,Words,31,2025-06-04,2025-09-04 09:03:03,2025-09-04 09:03:03,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
622,108,midline,math,Addition,30,2025-06-04,2025-09-04 09:03:03,2025-09-04 09:03:03,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
623,108,endline,khmer,Story,61,2025-07-04,2025-09-04 09:03:03,2025-09-04 09:03:03,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
624,108,endline,math,Subtraction,54,2025-08-04,2025-09-04 09:03:03,2025-09-04 09:03:03,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
625,109,baseline,khmer,Nothing,1,2024-10-04,2025-09-04 09:03:03,2025-09-04 09:03:03,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
626,109,baseline,math,Numbers,23,2024-11-04,2025-09-04 09:03:03,2025-09-04 09:03:03,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
627,109,midline,khmer,Letters,11,2025-04-04,2025-09-04 09:03:03,2025-09-04 09:03:03,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
628,109,midline,math,Subtraction,46,2025-04-04,2025-09-04 09:03:03,2025-09-04 09:03:03,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
629,109,endline,khmer,Story,61,2025-07-04,2025-09-04 09:03:03,2025-09-04 09:03:03,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
630,109,endline,math,Numbers,21,2025-09-04,2025-09-04 09:03:03,2025-09-04 09:03:03,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
631,110,baseline,khmer,Words,27,2024-11-04,2025-09-04 09:03:03,2025-09-04 09:03:03,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
632,110,baseline,math,Addition,36,2024-12-04,2025-09-04 09:03:03,2025-09-04 09:03:03,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
633,110,midline,khmer,Paragraph,56,2025-03-04,2025-09-04 09:03:03,2025-09-04 09:03:03,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
634,110,midline,math,Subtraction,41,2025-04-04,2025-09-04 09:03:04,2025-09-04 09:03:04,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
635,110,endline,khmer,Story,65,2025-06-04,2025-09-04 09:03:04,2025-09-04 09:03:04,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
636,110,endline,math,Addition,27,2025-08-04,2025-09-04 09:03:04,2025-09-04 09:03:04,f,,,5,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
637,111,baseline,khmer,Words,37,2025-02-04,2025-09-04 09:03:04,2025-09-04 09:03:04,f,,,10,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
638,111,baseline,math,Addition,31,2025-02-04,2025-09-04 09:03:04,2025-09-04 09:03:04,f,,,10,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
639,111,midline,khmer,Paragraph,42,2025-05-04,2025-09-04 09:03:04,2025-09-04 09:03:04,f,,,10,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
640,111,midline,math,Numbers,16,2025-04-04,2025-09-04 09:03:04,2025-09-04 09:03:04,f,,,10,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
641,111,endline,khmer,Comp. 2,90,2025-09-04,2025-09-04 09:03:04,2025-09-04 09:03:04,f,,,10,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,1
66,11,endline,math,Word Problem,99,2025-09-04,2025-09-04 07:49:40,2025-09-04 08:04:23,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,7
73,13,baseline,khmer,Story,68.7,2025-01-13,2025-09-04 07:49:40,2025-09-04 08:04:23,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,8
74,13,baseline,math,Word Problem,86,2025-01-13,2025-09-04 07:49:40,2025-09-04 08:04:23,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,8
75,13,midline,khmer,Comp 1,80.3,2025-05-04,2025-09-04 07:49:40,2025-09-04 08:04:23,f,,,,,,,,written,,,,,,,t,,,,,,f,,f,,,,,,,,,,,,f,,,f,,,,,8
